"user","session","task","iteration","digraph_qu","digraph_u!","digraph_!f","digraph_fa","digraph_aB","digraph_B8","digraph_8*","digraph_*e","digraph_en","mean","standard_deviation","kurtosis","skewness"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","0","2383","1479","1695","1423","1006","708","1881","1156","727","1384.2222222222222","520.2317384862203","2.2515836365497632","0.38729606693728896"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","1","1199","1016","1487","1423","1118","1286","2355","1233","704","1313.4444444444443","427.5743239123882","4.406070800880387","1.2427176614473807"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","2","1014","3597","4096","1296","1401","894","3859","891","780","1980.888888888889","1340.1637084446431","1.562795731715191","0.6729199419482152"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","3","1975","3091","3989","1845","1262","1691","1854","1074","728","1945.4444444444443","959.2338506573429","2.9079949425388723","0.9106394226389841"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","4","1860","799","1348","1353","719","1078","2013","1020","578","1196.4444444444443","467.6297469653888","2.007387313439396","0.465724066184696"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","5","1513","1563","1792","1124","537","630","1861","469","294","1087","580.0042145440746","1.3417968095464379","0.0015784162589271133"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","6","1163","2114","1772","546","743","689","1087","592","305","1001.2222222222222","566.6156404041608","2.3789640734111024","0.7895756771046298"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","7","1484","1101","1736","1231","1753","991","1098","493","365","1139.111111111111","459.7481060185614","2.031969600434263","-0.2871949877413456"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","8","4105","1146","1705","1061","1697","874","1532","687","395","1466.888888888889","1024.6908958797114","5.068746238213978","1.6907573742430775"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","9","1243","1655","1197","977","937","1413","1832","857","478","1176.5555555555557","395.32830550796945","2.2451560517684657","0.016936862577743968"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","10","1243","1655","1197","977","937","1413","1832","857","478","1176.5555555555557","395.32830550796945","2.2451560517684657","0.016936862577743968"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","0","912","1683","2396","1126","1559","604","1416","712","380","1198.6666666666667","595.6701175053931","2.4415140197307026","0.5199153856352192"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","1","542","1219","1693","843","1353","737","850","925","803","996.1111111111111","337.1776466969582","2.6133884630950286","0.7816391424124075"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","2","583","892","1912","1880","2351","946","1748","1628","842","1420.2222222222222","578.2526894356015","1.5887131654483233","0.018673301648594154"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","3","1775","1087","1078","973","1293","1044","789","748","649","1048.4444444444443","318.48534280284696","3.460233458276263","0.9957166725811541"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","4","1488","1476","2042","1393","1500","1157","1847","1027","658","1398.6666666666667","392.1830638305988","2.514395326724925","-0.20848079640873174"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","5","1162","1299","1318","775","958","1844","597","1175","1041","1129.888888888889","337.370368337379","3.08395827689564","0.5034248235640354"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","6","793","920","912","787","931","757","941","764","656","829","94.58447135879241","1.8420983287879127","-0.2829521489438822"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","7","1108","892","1238","1096","913","1066","1386","550","391","960","299.83143412405724","2.377898866656262","-0.6093280730518343"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","8","830","1267","1139","941","799","615","863","1028","785","918.5555555555555","187.88182521711244","2.3479237703030855","0.3587292063605245"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","9","1283","657","1163","1205","1006","718","756","813","750","927.8888888888889","225.11648562192295","1.48247993011796","0.3718987856241334"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","10","1283","657","1163","1205","1006","718","756","813","750","927.8888888888889","225.11648562192295","1.48247993011796","0.3718987856241334"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","0","895","617","613","484","740","607","1006","598","334","654.8888888888889","191.21508799397398","2.4975900547246876","0.30656942763930645"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","1","566","1591","1394","502","438","1119","706","643","593","839.1111111111111","396.85554171216296","2.1070230694725884","0.835207417629675"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","2","814","655","706","702","1868","780","931","568","456","831.1111111111111","388.91514197099735","5.741089587480639","1.955107268267816"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","3","754","556","1036","830","1001","866","747","651","530","774.5555555555555","168.35419746020335","1.8635197070832987","0.07999503052533961"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","4","595","628","661","522","1356","864","720","479","362","687.4444444444445","272.58275445209546","4.320970810404458","1.400525948881658"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","5","1185","850","966","703","743","1034","1176","525","415","844.1111111111111","256.7767921515773","1.8385358022583678","-0.20033269398633707"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","6","1138","662","551","390","655","684","808","484","323","632.7777777777778","229.40734163287306","3.1820911233558027","0.7972784701541906"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","7","1231","629","547","411","631","678","753","446","299","625","253.13105959825108","4.048463570750612","1.1929096008093214"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","8","588","589","626","472","473","490","668","414","295","512.7777777777778","110.21673373431881","2.379852888495775","-0.4460691609409173"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","0","2307","740","704","660","432","800","1201","520","295","851","568.5953452734789","4.942524442339221","1.714262052097393"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","1","1720","649","792","586","524","1609","1393","639","391","922.5555555555555","477.88773928405476","1.7163509297632518","0.6490900951222738"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","2","522","454","716","441","617","1024","947","464","304","609.8888888888889","228.9694033147682","2.1474302246764427","0.643386171125733"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","3","2027","381","425","274","536","864","1465","1131","305","823.1111111111111","573.8938044319978","2.5735351819210206","0.9174788190386561"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","4","1321","319","441","330","353","919","869","400","222","574.8888888888889","351.0813278507305","2.621688183685845","0.9948931687446151"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","5","655","521","886","520","457","889","754","368","1297","705.2222222222222","271.8528105745533","2.9277824307064533","0.8466826463835405"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","6","613","378","479","297","701","744","889","387","279","529.6666666666666","203.91991892243715","1.7684074827222913","0.3535726882283948"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","7","594","408","377","235","336","873","2556","776","419","730.4444444444445","674.9987837208978","6.009432000719131","2.0931060725783586"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","8","625","408","960","1162","801","696","3714","869","352","1065.2222222222222","966.9841751868169","6.3200637665422645","2.184319472417557"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","9","1290","407","529","355","825","1260","2045","793","413","879.6666666666666","529.2512530820204","2.9480698671886465","0.9826234772250867"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","10","1290","407","529","355","825","1260","2045","793","413","879.6666666666666","529.2512530820204","2.9480698671886465","0.9826234772250867"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","0","990","803","760","549","506","919","965","984","586","784.6666666666666","184.4113758843406","1.4807621962215132","-0.31381344660068144"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","1","1001","564","697","539","382","736","712","575","478","631.5555555555555","170.07783258203423","3.100322935335516","0.7209210675083245"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","2","5880","502","464","344","674","774","794","611","479","1169.111111111111","1671.4996223913186","7.029445195515526","2.4410723257515023"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","3","1627","473","936","783","727","745","640","579","397","767.4444444444445","340.80105343835334","4.732497154651019","1.5569754543183458"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","4","1340","436","442","374","427","730","1998","828","439","779.3333333333334","520.707851550816","3.6079589348213723","1.3831773313162417"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","5","669","505","818","607","758","697","793","716","403","662.8888888888889","128.94912385592184","2.471390434977454","-0.7606949447669674"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","6","1201","472","644","406","1034","1059","995","668","436","768.3333333333334","288.42753759730437","1.4014209751799456","0.10521483912077038"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","7","618","404","441","281","407","773","1413","1233","444","668.2222222222222","376.6910840987694","2.4654305584094294","0.9914799557932652"
