"user","session","task","iteration","reactionTime"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","0","821.3"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","1","1176"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","2","712"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","3","285"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","4","263"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","5","455"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","6","220"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","7","467"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","8","375"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","9","535"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","10","3725"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","0","626.6"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","1","308"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","2","476"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","3","495"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","4","408"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","5","368"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","6","480"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","7","229"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","8","479"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","9","508"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","10","2515"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","0","302.7"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","1","374"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","2","262"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","3","361"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","4","87"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","5","109"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","6","52"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","7","84"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","8","305"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","9","532"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","10","861"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2a","0","1355.6"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2a","1","1905"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2a","2","1583"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2a","3","1510"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2a","4","1067"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2a","5","1306"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2a","6","1062"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2a","7","1627"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2a","8","1106"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2a","9","1042"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2a","10","1348"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2a","0","781.9"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2a","1","1305"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2a","2","936"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2a","3","596"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2a","4","618"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2a","5","649"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2a","6","675"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2a","7","760"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2a","8","896"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2a","9","706"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2a","10","678"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2a","0","1272.6"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2a","1","569"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2a","2","666"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2a","3","664"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2a","4","750"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2a","5","1244"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2a","6","1104"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2a","7","956"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2a","8","1034"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2a","9","919"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2a","10","4820"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2a","0","35.44444444444444"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2a","1","28"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2a","2","61"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2a","3","41"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2a","4","26"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2a","5","43"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2a","6","33"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2a","7","27"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2a","8","30"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2a","9","30"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2a","10","35.44444444444444"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2a","0","48.22222222222222"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2a","1","75"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2a","2","41"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2a","3","42"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2a","4","58"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2a","5","28"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2a","6","25"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2a","7","28"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2a","8","99"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2a","9","38"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2a","10","48.22222222222222"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2a","0","30"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2a","1","22"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2a","2","24"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2a","3","54"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2a","4","41"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2a","5","25"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2a","6","25"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2a","7","23"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2a","8","28"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2a","9","28"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2a","10","30"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2a","0","454.55555555555554"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2a","1","544"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2a","2","455"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2a","3","567"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2a","4","522"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2a","5","802"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2a","6","272"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2a","7","258"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2a","8","295"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2a","9","376"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2a","10","454.55555555555554"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2a","0","61.333333333333336"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2a","1","138"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2a","2","26"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2a","3","37"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2a","4","34"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2a","5","99"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2a","6","80"
