"user","session","task","iteration","reactionTime"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","0","634"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","1","599"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","2","598"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","3","581"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","4","603"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","5","802"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","6","588"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","7","681"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","8","527"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","9","975"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","10","386"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2b","0","479.1"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2b","1","448"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2b","2","525"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2b","3","217"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2b","4","283"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2b","5","269"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2b","6","488"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2b","7","486"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2b","8","525"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2b","9","540"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2b","10","1010"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","0","515.8"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","1","152"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","2","539"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","3","295"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","4","562"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","5","205"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","6","245"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","7","260"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","8","276"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","9","281"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2b","10","2343"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","0","1233.3"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","1","1734"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","2","1388"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","3","1231"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","4","1330"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","5","1381"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","6","684"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","7","732"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","8","890"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","9","680"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2b","10","2283"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","0","839.5555555555555"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","1","1595"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","2","842"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","3","698"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","4","639"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","5","699"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","6","825"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","7","704"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","8","833"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","9","721"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2b","10","839.5555555555555"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","0","678.5"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","1","762"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","2","825"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","3","713"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","4","973"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","5","695"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","6","690"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","7","728"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","8","672"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","9","713"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2b","10","14"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","0","235.6"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","1","248"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","2","127"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","3","129"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","4","80"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","5","147"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","6","85"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","7","117"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","8","44"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","9","34"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2b","10","1345"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","0","98.22222222222223"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","1","190"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","2","74"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","3","53"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","4","73"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","5","40"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","6","57"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","7","27"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","8","60"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","9","310"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2b","10","98.22222222222223"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","0","54.333333333333336"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","1","68"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","2","104"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","3","44"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","4","26"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","5","99"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","6","43"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","7","69"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","8","12"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","9","24"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2b","10","54.333333333333336"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","0","402.22222222222223"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","1","784"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","2","297"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","3","336"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","4","292"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","5","529"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","6","319"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","7","475"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","8","303"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","9","285"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2b","10","402.22222222222223"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2b","0","116"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2b","1","71"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2b","2","97"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2b","3","120"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2b","4","108"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2b","5","116"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2b","6","115"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2b","7","90"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2b","8","199"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2b","9","128"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2b","0","132.88888888888889"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2b","1","87"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2b","2","90"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2b","3","74"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2b","4","50"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2b","5","120"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2b","6","164"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2b","7","95"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2b","8","171"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2b","9","345"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2b","10","132.88888888888889"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2b","0","185.6"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2b","1","154"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2b","2","156"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2b","3","87"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2b","4","71"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2b","5","196"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2b","6","192"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2b","7","202"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2b","8","281"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2b","9","141"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2b","10","376"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","2b","0","435.45454545454544"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","2b","1","236"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","2b","2","237"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","2b","3","225"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","2b","4","621"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","2b","5","121"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","2b","6","215"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","2b","7","233"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","2b","8","96"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","2b","9","267"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","2b","10","516"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","2b","11","2023"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","2b","0","202.3"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","2b","1","187"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","2b","2","155"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","2b","3","175"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","2b","4","164"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","2b","5","206"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","2b","6","155"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","2b","7","275"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","2b","8","228"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","2b","9","254"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","2b","10","224"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","2b","0","1069.3"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","2b","1","1202"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","2b","2","1251"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","2b","3","1270"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","2b","4","1103"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","2b","5","935"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","2b","6","1262"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","2b","7","1034"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","2b","8","971"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","2b","9","839"
"43a2b7d3-9d57-4a08-a564-db94470b0320","0","2b","10","826"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","2b","0","1186.7"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","2b","1","1905"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","2b","2","1057"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","2b","3","1504"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","2b","4","1252"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","2b","5","987"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","2b","6","1214"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","2b","7","843"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","2b","8","1301"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","2b","9","994"
"43a2b7d3-9d57-4a08-a564-db94470b0320","1","2b","10","810"
"43a2b7d3-9d57-4a08-a564-db94470b0320","2","2b","0","1238.7142857142858"
"43a2b7d3-9d57-4a08-a564-db94470b0320","2","2b","1","1238.7142857142858"
"43a2b7d3-9d57-4a08-a564-db94470b0320","2","2b","2","1518"
"43a2b7d3-9d57-4a08-a564-db94470b0320","2","2b","3","1744"
"43a2b7d3-9d57-4a08-a564-db94470b0320","2","2b","4","1247"
"43a2b7d3-9d57-4a08-a564-db94470b0320","2","2b","5","1252"
"43a2b7d3-9d57-4a08-a564-db94470b0320","2","2b","6","907"
"43a2b7d3-9d57-4a08-a564-db94470b0320","2","2b","7","977"
"43a2b7d3-9d57-4a08-a564-db94470b0320","2","2b","8","1238.7142857142858"
"43a2b7d3-9d57-4a08-a564-db94470b0320","2","2b","9","1238.7142857142858"
"43a2b7d3-9d57-4a08-a564-db94470b0320","2","2b","10","1026"
"4dfc506d-5928-4039-b257-1767b88d3276","0","2b","0","1046"
"4dfc506d-5928-4039-b257-1767b88d3276","0","2b","1","2307"
"4dfc506d-5928-4039-b257-1767b88d3276","0","2b","2","1783"
"4dfc506d-5928-4039-b257-1767b88d3276","0","2b","3","880"
"4dfc506d-5928-4039-b257-1767b88d3276","0","2b","4","678"
"4dfc506d-5928-4039-b257-1767b88d3276","0","2b","5","692"
"4dfc506d-5928-4039-b257-1767b88d3276","0","2b","6","939"
"4dfc506d-5928-4039-b257-1767b88d3276","0","2b","7","903"
"4dfc506d-5928-4039-b257-1767b88d3276","0","2b","8","970"
"4dfc506d-5928-4039-b257-1767b88d3276","0","2b","9","476"
"4dfc506d-5928-4039-b257-1767b88d3276","0","2b","10","832"
"4dfc506d-5928-4039-b257-1767b88d3276","1","2b","0","734.6"
"4dfc506d-5928-4039-b257-1767b88d3276","1","2b","1","1926"
"4dfc506d-5928-4039-b257-1767b88d3276","1","2b","2","838"
"4dfc506d-5928-4039-b257-1767b88d3276","1","2b","3","530"
"4dfc506d-5928-4039-b257-1767b88d3276","1","2b","4","309"
"4dfc506d-5928-4039-b257-1767b88d3276","1","2b","5","596"
"4dfc506d-5928-4039-b257-1767b88d3276","1","2b","6","946"
"4dfc506d-5928-4039-b257-1767b88d3276","1","2b","7","541"
"4dfc506d-5928-4039-b257-1767b88d3276","1","2b","8","601"
"4dfc506d-5928-4039-b257-1767b88d3276","1","2b","9","505"
"4dfc506d-5928-4039-b257-1767b88d3276","1","2b","10","554"
"4dfc506d-5928-4039-b257-1767b88d3276","2","2b","0","917.6666666666666"
"4dfc506d-5928-4039-b257-1767b88d3276","2","2b","1","1328"
"4dfc506d-5928-4039-b257-1767b88d3276","2","2b","2","1105"
"4dfc506d-5928-4039-b257-1767b88d3276","2","2b","3","917.6666666666666"
