"user","session","task","iteration","reactionTime"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","0","279.55555555555554"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","1","30"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","2","429"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","3","675"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","4","432"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","5","64"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","6","52"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","7","137"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","8","597"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","9","100"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","10","279.55555555555554"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","0","646.3"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","1","699"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","2","570"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","3","527"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","4","554"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","5","215"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","6","326"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","7","451"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","8","97"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","9","99"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","10","2925"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","0","186.44444444444446"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","1","221"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","2","515"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","3","42"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","4","115"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","5","40"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","6","111"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","7","289"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","8","190"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","9","155"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","10","186.44444444444446"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2c","0","987.8888888888889"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2c","1","1284"
