"user","session","task","iteration","speed"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","0","55.69439485897894"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","1","59.27256398742704"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","2","69.24590163934427"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","3","71.12068965517241"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","4","64.77352734099975"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","5","62.2568093385214"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","6","73.67099204688155"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","7","73.00884955752213"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","8","62.55183035185405"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","9","68.69633099141296"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","10","68.69633099141296"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","0","59.466156098659766"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","1","74.63952502120442"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","2","74.81932832648435"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","3","78.43137254901961"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","4","71.79766113679631"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","5","71.13985448666128"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","6","74.38715131022823"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","7","73.64016736401675"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","8","70.40816326530613"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","9","72.43792015365621"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2a","10","72.43792015365621"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","0","71.45757206658547"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","1","78.50133809099019"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","2","91.87402122846703"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","3","78.4202301463276"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","4","89.03878583473863"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2a","5","83.32075471698113"
