"user","session","task","iteration","speed"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","0","53.535059645039276"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","1","53.96014307613695"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","2","60.18465747178845"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","3","64.98404409631563"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","4","53.1936328833367"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","5","49.70590671858173"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","6","65.55748696299975"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","7","51.65919282511211"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","8","75.38549400342663"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","9","58.98964543457798"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2c","10","58.98964543457798"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","0","49.180327868852466"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","1","66.107424564918"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","2","55.99466717455481"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","3","56.426332288401255"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","4","62.08903740433329"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","5","77.23815096547689"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","6","87.24388631857238"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","7","58.64661654135338"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","8","69.45540647198106"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","9","52.81120890964613"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","2c","10","52.81120890964613"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","0","50.93833780160858"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","1","46.720575022461816"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","2","68.35836354220612"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","3","58.74203380437794"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","4","64.52320860309447"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","5","64.2156376969577"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","6","58.58324200458304"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","7","66.02669164130181"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","8","80.72160220149826"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","9","77.48752568241856"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","2c","10","77.48752568241856"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2c","0","64.57135868900575"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2c","1","83.1889081455806"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2c","2","78.33333333333334"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2c","3","68.57142857142857"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2c","4","64.66302367941712"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2c","5","79.65860597439544"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2c","6","38.75247294309322"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2c","7","65.41956173169427"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2c","8","81.53180975911056"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2c","9","80.50089445438283"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","2c","10","80.50089445438283"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2c","0","67.06408345752607"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2c","1","68.18181818181819"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2c","2","63.292559757602966"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2c","3","73.27001356852102"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2c","4","73.74027038099139"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2c","5","74.19505366308913"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2c","6","82.65004919645786"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2c","7","80.43310131477185"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2c","8","85.20710059171599"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2c","9","86.85162846803378"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","2c","10","86.85162846803378"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2c","0","36.39391056137012"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2c","1","77.4542179525668"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2c","2","77.44314689612784"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2c","3","75.35584705554005"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2c","4","84.26684500919579"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2c","5","83.41056533827619"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2c","6","92.63003124425657"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2c","7","93.1545518701482"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2c","8","69.81183528770111"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2c","9","79.44732297063902"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","2c","10","79.44732297063902"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2c","0","91.04704097116843"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2c","1","66.17647058823529"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2c","2","77.51552795031057"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2c","3","93.86407091952024"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2c","4","101.97268588770864"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2c","5","118.16192560175055"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2c","6","107.61259465922677"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2c","7","107.61259465922677"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2c","8","81.30081300813008"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2c","9","104.8284625158831"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","0","2c","10","104.8284625158831"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2c","0","113.61245529139491"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2c","1","97.86476868327402"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2c","2","102.27272727272728"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2c","3","106.63507109004739"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2c","4","98.97360703812316"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2c","5","111.41678129298488"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2c","6","110.15490533562821"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2c","7","108.84902237452127"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2c","8","96.93372898120674"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2c","9","112.47656738179546"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","2c","10","112.47656738179546"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2c","0","127.23845428840717"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2c","1","107.33452593917711"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2c","2","93.37925755836204"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2c","3","93.10816978548608"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2c","4","122.03389830508475"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2c","5","118.13607525705534"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2c","6","116.93373754872239"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2c","7","103.04054054054053"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2c","8","126.84989429175477"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2c","9","118.60311882275423"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","2c","10","118.60311882275423"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2c","0","79.35076645626691"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2c","1","75.26588491955276"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2c","2","99.92758870383778"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2c","3","94.16800428036383"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2c","4","99.47249434815375"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2c","5","94.55022980958634"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2c","6","113.89830508474577"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2c","7","109.25644916540213"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2c","8","112.02489442098245"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2c","9","106.87022900763358"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","2c","10","106.87022900763358"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2c","0","74.49560269011899"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2c","1","106.21655002058459"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2c","2","112.5900065459306"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2c","3","107.76942355889724"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2c","4","107.54716981132076"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2c","5","105.70236439499305"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2c","6","92.32420826623725"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2c","7","108.1967213114754"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2c","8","107.14285714285714"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2c","9","60.77913680694003"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","1","2c","10","60.77913680694003"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2c","0","106.83229813664596"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2c","1","109.33387325369509"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2c","2","110.37433155080214"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2c","3","112.5900065459306"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2c","4","114.5902731512325"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2c","5","108.95270270270271"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2c","6","107.81445883827831"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2c","7","114.03314917127071"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2c","8","110.8009448142581"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2c","9","107.90464240903388"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","2","2c","10","107.90464240903388"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2c","0","48.17664770826363"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2c","1","49.61335272950004"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2c","2","49.27742241175078"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2c","3","54.7580568495104"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2c","4","45.970104409224064"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2c","5","52.532086359566215"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2c","6","48.46526655896607"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2c","7","53.80641388049518"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2c","8","53.19899244332495"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2c","9","52.64601041952289"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","2c","10","52.64601041952289"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","2c","0","34.36185133239832"
