"user","session","task","iteration","trigraph_qu!","trigraph_u!f","trigraph_!fa","trigraph_faB","trigraph_aB8","trigraph_B8*","trigraph_8*e","trigraph_*en","mean","standard_deviation","kurtosis","skewness"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","0","3506","2778","2054","2154","1528","2175","2611","1347","2269.125","649.3905676671012","2.4237774483926042","0.39277034525354654"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","1","2115","2278","1767","2341","1931","2956","2942","1464","2224.25","493.98019950196385","1.968326465799776","0.20926330514097913"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","2","4465","4769","4412","2432","1971","4323","4553","1083","3501","1345.3537638851724","1.7852743981731076","-0.6945561634114391"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","3","4975","4763","4365","2818","2247","2731","2391","1371","3207.625","1236.1315603021387","1.6142970043958005","0.20117601615347222"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","4","2504","1978","1641","1834","1516","2693","2536","1194","1987","507.57043846150066","1.6389969907128124","0.007059430547688197"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","5","2942","2721","1904","1620","961","2181","2152","579","1882.5","758.6993805190565","2.0297807064788658","-0.3406989345285063"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","6","3099","2681","1886","1246","1160","1400","1331","740","1692.875","758.2239836453342","2.2061944574720855","0.7380972836662708"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","7","2461","2255","2003","2784","2284","1581","1323","657","1918.5","647.8105432917869","2.3775175541145925","-0.6260669266399619"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","8","5101","2201","1889","2650","2267","1952","1743","875","2334.75","1151.0989043084005","4.506007483530669","1.4533760510804972"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","9","2768","2457","1404","1775","1885","2408","2188","1082","1995.875","531.7582715623707","1.9598150712765","-0.2886798571428159"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","1","10","2768","2457","1404","1775","1885","2408","2188","1082","1995.875","531.7582715623707","1.9598150712765","-0.2886798571428159"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","0","2569","2743","2612","2536","1952","1655","1693","827","2073.375","621.096397006938","2.3993235953214547","-0.7246377637062453"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","1","1753","2062","1835","2133","1898","1201","1541","1196","1702.375","336.71647476029443","1.7747726923889497","-0.40524420685701357"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","2","1359","2493","2215","4015","3155","2048","2727","1634","2455.75","798.2425618194009","2.49049687753631","0.5399180232938998"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","3","2781","1944","1304","2116","1864","1344","1400","909","1707.75","550.7723554246346","2.470052642854415","0.5002081332779977"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","4","2914","2792","2228","2787","2151","2442","2429","1189","2366.5","514.7040411731775","3.7026027080846107","-1.2184094565705046"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","5","2416","2012","1507","1611","2576","2242","1598","1297","1907.375","439.47239318869623","1.544231370179852","0.1795024101544829"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","6","1616","1571","1179","1531","1458","1261","1543","892","1381.375","234.60655228488397","2.6730786955557155","-0.9629592964961932"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","7","1938","1702","1535","1815","1752","1645","1727","698","1601.5","358.8073995892504","5.1445230343952995","-1.8495828127584706"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","8","1969","2188","1284","1682","1180","1138","1603","1184","1528.5","372.57482469968363","1.8363471711680044","0.5292489130897589"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","9","1892","1524","1513","1952","1483","1021","1444","986","1476.875","326.2470066912492","2.007220491808219","-0.12278788904235388"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","1","1","10","1892","1524","1513","1952","1483","1021","1444","986","1476.875","326.2470066912492","2.007220491808219","-0.12278788904235388"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","0","1509","987","732","1188","1116","1266","1221","738","1094.625","249.11941790033148","2.0861244359286886","-0.12338286367729483"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","1","2036","1998","1501","909","1356","1619","1128","820","1420.875","428.6864931100582","1.7102666941478644","0.09013353244586461"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","2","1461","1180","982","2385","2523","1251","1243","720","1468.125","605.2190589984754","2.166799754967336","0.7699188400194664"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","3","1278","1422","1122","1824","1364","1254","1217","778","1282.375","274.9381464529795","3.3225423888246395","0.17693939118432966"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","4","1133","1143","766","1842","1696","1268","1034","621","1187.875","390.59551888750593","2.0691821014775607","0.3155816647158586"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","5","1983","1436","1094","1393","1425","1552","1449","679","1376.375","349.352235394308","3.1829606713056293","-0.3878789724401291"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","6","1752","974","650","1026","1055","1155","1036","591","1029.875","331.2557310824977","3.4269407586123184","0.8219423254628275"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","7","1832","943","660","1005","953","1113","983","538","1003.375","360.5062196065416","3.9401305959013997","1.1435660795535605"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","2","1","8","1162","984","731","928","747","892","928","520","861.5","180.9157262373838","2.6232450611996803","-0.29469172016286016"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","0","2895","1347","952","995","1089","1520","1385","633","1352","640.6799122806957","4.438875940066306","1.5110642209133327"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","1","2241","1273","928","1069","1889","2025","1856","757","1504.75","526.6765492216261","1.4073938892040643","-0.055743968037847924"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","2","975","1049","752","906","1496","1424","1187","671","1057.5","277.47026867756483","1.832476787636564","0.26582139055870646"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","3","2407","737","463","698","1304","1721","1932","1151","1301.625","632.8755678448963","1.8788266193708414","0.33616216893915934"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","4","1640","656","546","681","1169","1227","1121","509","943.625","378.5168217860337","1.9331446522764772","0.43933263423301705"
