"user","session","task","iteration","trigraph_the","trigraph_heq","trigraph_equ","trigraph_qui","trigraph_uic","trigraph_ick","trigraph_ckb","trigraph_kbr","trigraph_bro","trigraph_row","trigraph_own","trigraph_wnf","trigraph_nfo","trigraph_fox","trigraph_oxj","trigraph_xju","trigraph_jum","trigraph_ump","trigraph_mps","trigraph_pso","trigraph_sov","trigraph_ove","trigraph_ver","trigraph_ert","trigraph_rth","trigraph_the","trigraph_hel","trigraph_ela","trigraph_laz","trigraph_azy","trigraph_zyd","trigraph_ydo","trigraph_dog","mean","standard_deviation","kurtosis","skewness"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","0","931","622","820","438","345","531","711","727","603","344","384","516","525","482","535","556","477","483","416","443","419","436","394","391","396","246","396","418","1349","1550","1046","1085","1100","609.5454545454545","303.8787727695781","4.568673254426281","1.5207584027738519"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","1","1196","568","661","538","427","428","599","619","543","1176","1157","1379","574","567","847","831","790","542","477","446","412","436","403","405","413","277","399","412","669","825","927","624","483","637.8787878787879","267.059607189987","3.6323608932927933","1.2108629533708954"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","2","1031","603","809","549","422","484","484","428","418","365","483","415","451","388","568","518","468","497","958","1001","928","481","340","428","438","264","458","495","569","587","646","450","383","539.6060606060606","189.90538942580338","4.034761226742841","1.397828298283197"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","3","1335","581","713","474","427","525","599","628","504","456","430","409","379","391","685","669","530","496","420","419","343","460","353","365","409","297","456","373","690","790","756","373","315","516.6666666666666","195.4675306938612","9.745408149807595","2.258320637468431"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","4","1027","527","713","501","411","417","482","482","453","368","369","351","372","356","524","550","482","883","860","964","617","558","490","404","373","253","506","453","422","601","1447","1703","671","593.6363636363636","308.2868418526878","7.203121913190907","2.0850051705935035"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","5","996","479","630","406","326","429","457","423","413","2832","2887","971","596","604","615","606","522","504","425","420","311","449","288","757","806","266","475","410","570","650","859","735","685","690.969696969697","579.612748717336","11.930706226825427","3.114160034217974"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","6","1215","748","895","459","392","449","470","489","461","395","431","384","422","369","558","549","452","480","430","430","339","389","350","395","413","256","395","392","717","707","867","469","380","501.42424242424244","192.23407926402302","6.998481308876797","1.9983850600305704"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","7","969","530","732","480","452","457","431","404","390","318","332","642","655","632","568","581","473","520","436","407","322","453","297","403","422","255","396","404","633","679","909","631","529","507.3333333333333","161.1723464261945","3.8978723863162146","1.0025448281956326"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","8","976","493","648","428","394","450","420","332","472","313","448","471","448","387","518","547","454","493","403","446","646","518","450","344","395","203","424","332","1334","1439","2379","1411","1290","627.4545454545455","446.5844174098311","8.20401831461629","2.302627694062829"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2a","9","894","624","854","518","877","906","1089","626","408","277","393","346","431","372","534","540","454","486","437","548","665","526","495","333","416","308","472","388","657","661","931","644","514","564.3636363636364","200.41439163557007","2.9605034279811435","0.8736714978912821"
