"user","session","task","iteration","trigraph_Pac","trigraph_ack","trigraph_ckm","trigraph_kmy","trigraph_myb","trigraph_ybo","trigraph_box","trigraph_oxw","trigraph_xwi","trigraph_wit","trigraph_ith","trigraph_thf","trigraph_hfo","trigraph_fou","trigraph_our","trigraph_urd","trigraph_rdo","trigraph_doz","trigraph_oze","trigraph_zen","trigraph_enl","trigraph_nli","trigraph_liq","trigraph_iqu","trigraph_quo","trigraph_uor","trigraph_orj","trigraph_rju","trigraph_jug","trigraph_ugs","trigraph_gs!","standard_deviation","kurtosis","skewness"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","0","590","595","644","723","1113","1147","477","605","541","485","424","542","428","390","337","494","479","609","658","709","540","527","597","722","737","697","1505","1412","663","526","776","269.9723846054106","5.602653322901064","1.7656376840804524"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","1","637","593","633","703","1016","1058","630","595","515","434","399","472","389","379","345","526","488","413","538","577","576","496","503","578","497","496","1075","1104","1050","515","809","218.03493309547434","3.176432715239872","1.1712663846122482"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","2","579","531","517","539","595","659","443","567","490","507","383","660","616","509","432","656","608","429","452","538","1679","1680","1610","1537","2005","1189","1145","633","1989","2018","1100","533.1117337928291","2.5818172260362084","1.0722458289897774"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","3","686","539","486","488","858","920","653","503","406","373","443","591","465","385","316","458","418","345","486","551","526","479","450","531","476","536","998","967","823","790","1403","234.11457835010145","5.572342255314484","1.6162012764740545"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","4","660","622","733","810","1135","991","872","692","624","442","387","500","396","340","328","772","744","496","537","522","578","493","816","1540","10403","18911","12869","3099","863","456","895","4115.6617365445145","11.189892521742731","3.0390573947754977"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","5","710","493","462","527","576","660","414","512","421","314","350","517","471","409","335","479","422","353","493","522","493","494","579","649","586","535","930","916","863","456","895","164.72212277508345","3.38187180922221","1.0683998888665363"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","6","739","528","470","571","654","734","544","524","429","358","385","552","467","422","309","461","442","361","546","495","472","506","450","737","2586","2629","743","722","628","564","838","524.057085959567","12.014952944418114","3.191677645669542"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","7","619","467","480","581","595","703","511","600","485","408","420","446","365","356","444","675","610","753","753","854","545","549","783","1977","1817","1477","619","538","489","469","838","379.60388467610056","7.580144058217087","2.311872780387672"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","8","519","457","456","568","642","735","544","552","410","351","396","521","419","403","341","464","429","344","493","533","497","474","713","1317","1465","1272","1152","957","832","456","810","298.6292304408148","4.076950660914317","1.4660365969945124"
"1060d17b-2e21-4a6b-90f1-f451764a20d0","0","2b","9","582","437","454","612","604","683","394","465","372","333","394","594","498","462","308","487","497","531","560","602","503","566","723","769","587","521","1320","1776","1122","898","749","297.8876552509091","8.524860439680017","2.28612326525663"
